category,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年
他の交際費,42191,41010,41410,43836,44956,42854,38886,42079,39546,39932,39840,36920,38049,34215,31931,30454,29797,29982,36225,38696,39083,40491,36118,35750
仕送り金,99540,94923,87306,84267,81522,79109,77723,73097,68077,61394,64522,59411,55621,57586,52824,58673,56319,66287,54764,55702,49617,56744,57439,45611
財・サービス支出計,2878305,2804426,2785068,2759289,2783937,2771775,2702421,2744396,2762799,2699236,2690368,2640352,2660411,2712691,2733487,2687906,2646370,2649182,2698885,2734097,2575675,2598561,2708105,2767081
財(商品),1641611,1592414,1570758,1554542,1552112,1545189,1511143,1526661,1549268,1511947,1522655,1483104,1500864,1531495,1553706,1511791,1485968,1489993,1513927,1530704,1536927,1527371,1572718,1600809
耐久財,190115,184595,175132,179118,179552,180317,160168,167817,168403,175622,193935,158027,162342,174851,177864,153420,155049,153615,165532,171775,176451,171989,174543,180759
半耐久財,305621,286264,283322,268741,270610,264456,256506,260648,257553,246139,235951,232905,235152,238819,244294,235097,225404,227743,225701,231507,208820,210709,214185,217330
非耐久財,1145875,1121555,1112304,1106682,1101950,1100417,1094468,1098196,1123313,1090187,1092769,1092172,1103370,1117824,1131548,1123273,1105515,1108635,1122694,1127423,1151656,1144673,1183990,1202720
サービス,1236694,1212012,1214310,1204747,1231825,1226585,1191278,1217735,1213530,1187289,1167714,1157248,1159547,1181197,1179781,1176115,1160402,1159189,1184958,1203393,1038748,1071189,1135387,1166271
食料(財・サービス),865711,838846,833521,813349,812367,799817,783561,794255,800434,782693,772546,766320,768690,780450,792776,812646,814503,811232,813023,819064,800137,792706,815241,860624
非耐久財(食料),676238,656298,648621,640437,634675,626492,616579,623001,627256,619176,612021,607937,608558,615503,627210,642748,649618,646711,649016,649178,678551,674415,678517,698875
サービス(食料),189474,182548,184900,172911,177692,173324,166982,171254,173178,163517,160525,158383,160131,164946,165566,169898,164885,164521,164007,169886,121586,118291,136724,161749
住居(財・サービス),262339,256995,253329,255114,248267,245590,234411,231548,227240,220875,228180,235549,227704,232297,229046,224351,213675,214880,225599,220366,223441,236087,244101,241823
耐久財(住居),15519,13564,18449,19914,18490,21288,19645,20048,19080,18000,20272,24236,23827,24386,22599,22187,23370,22064,23967,22495,23259,25912,26762,27557
半耐久財(住居),4375,3854,4961,5486,6002,5340,6635,5899,5004,3748,3929,4314,3501,4377,4417,3789,3375,3477,3952,4121,4221,4410,4377,4460
サービス(住居),242445,239577,229919,229714,223776,218962,208131,205601,203155,199127,203979,206999,200375,203534,202029,198375,186930,189339,197680,193750,195960,205765,212962,209806
家具・家事用品(財・サービス),117903,119175,110576,108955,104982,105543,101453,103383,103805,105553,105408,105456,105995,108259,109586,105244,107497,108192,108434,115212,121911,118558,119283,120050
耐久財(家具・家事用品),46207,49762,43680,43256,40478,42422,39399,39753,39618,41460,41988,39178,40630,43281,43135,39432,40944,41088,40734,45283,45900,44287,46254,46138
半耐久財(家具・家事用品),38809,36854,35660,33748,32876,32515,31055,32079,31578,31252,30419,32211,32010,30838,31488,31378,30757,30935,31651,31837,33350,33379,32075,31890
非耐久財(家具・家事用品),22367,21575,21485,22366,21606,21263,21577,22274,22991,23304,23036,23932,23869,24704,25725,25537,26909,27153,27479,29268,33510,32450,32296,33364
サービス(家具・家事用品),10519,10984,9751,9586,10022,9343,9422,9276,9619,9537,9965,10136,9486,9436,9238,8897,8886,9015,8571,8823,9150,8441,8658,8657
被服及び履物(財・サービス),182266,168702,164623,155406,154528,148858,145266,145622,142303,134783,127610,126110,124614,126872,130935,125506,116396,116268,113904,114162,92291,90818,95661,93854
半耐久財(被服及び履物),169366,156962,152893,144613,143824,138518,135636,135759,132316,125867,118921,118000,116449,119162,123138,118048,108889,109291,106962,107445,86740,85661,89881,88287
サービス(被服及び履物),12900,11741,11730,10793,10704,10340,9629,9863,9987,8916,8688,8110,8166,7710,7798,7458,7508,6977,6942,6717,5551,5157,5780,5567
保健医療(財・サービス),116212,119753,118676,128041,127352,133993,130640,133606,130443,131796,128931,130708,132403,132987,133468,132034,131790,132485,135891,142637,141605,143670,145677,144364
耐久財(保健医療),10370,9465,8529,8963,8999,9807,9010,9588,9114,8403,8762,8871,8966,8749,9225,7993,8208,8912,8824,9747,8592,8536,8946,8651
半耐久財(保健医療),5027,4790,4424,4990,5181,4957,4311,4088,4734,4074,4539,3999,4866,4792,6048,4296,4512,4593,4205,4769,4654,5207,4418,4279
非耐久財(保健医療),37475,39434,39599,42012,41860,42515,39297,38832,39692,42857,46162,46757,47810,47641,46347,47681,48354,48698,49032,50043,56828,53389,53639,53420
サービス(保健医療),63340,66064,66124,72076,71312,76714,78022,81099,76904,76462,69467,71081,70761,71805,71848,72064,70715,70281,73830,78078,71531,76537,78674,78014
交通・通信(財・サービス),395656,387132,393293,401051,413287,418412,397740,404467,412391,396701,403205,380100,407603,421269,422980,403306,391545,396695,425734,433826,389186,388714,402269,420859
耐久財(交通・通信),69922,66768,59232,63715,69241,62457,51677,53999,55791,58524,64103,44822,62546,70349,71876,58379,58624,57372,68183,66720,69098,61059,62985,69756
半耐久財(交通・通信),15095,13873,15208,15192,16146,17012,15518,17003,18197,19482,19251,17040,20537,21271,21647,18654,18900,19130,22564,24336,24009,24253,25918,28758
